gender,race/ethnicity,parental level of education,lunch,test preparation course,predicted_math_score,predicted_reading_score,predicted_writing_score,predicted_average_score,predicted_performance
male,group B,bachelor's degree,free/reduced,none,57.59398949319417,57.59398949319417,57.59398949319417,57.59398949319418,Below Average
male,group E,some college,standard,none,65.15566000129294,65.15566000129294,65.15566000129294,65.15566000129294,Average
male,group E,some college,standard,none,65.15566000129294,65.15566000129294,65.15566000129294,65.15566000129294,Average
female,group B,some college,free/reduced,none,61.51542100900853,61.51542100900853,61.51542100900853,61.51542100900853,Average
male,group D,associate's degree,free/reduced,none,58.297343855952846,58.297343855952846,58.297343855952846,58.297343855952846,Below Average
female,group D,some college,standard,none,75.13880565663378,75.13880565663378,75.13880565663378,75.13880565663378,Good
female,group C,master's degree,standard,none,75.66455057146011,75.66455057146011,75.66455057146011,75.66455057146011,Good
female,group C,some high school,free/reduced,none,60.10201928159988,60.10201928159988,60.10201928159988,60.10201928159987,Average
male,group C,associate's degree,standard,completed,73.67647507417908,73.67647507417908,73.67647507417908,73.67647507417908,Good
male,group B,some high school,standard,completed,67.99206675181475,67.99206675181475,67.99206675181475,67.99206675181475,Average
male,group D,bachelor's degree,standard,completed,81.40477552979058,81.40477552979058,81.40477552979058,81.40477552979058,Excellent
female,group A,some college,standard,none,70.22037989013488,70.22037989013488,70.22037989013488,70.22037989013488,Good
male,group D,associate's degree,free/reduced,none,58.297343855952846,58.297343855952846,58.297343855952846,58.297343855952846,Below Average
female,group E,high school,standard,completed,80.39375195104053,80.39375195104053,80.39375195104053,80.39375195104053,Excellent
male,group D,high school,free/reduced,none,52.79092342318174,52.79092342318174,52.79092342318174,52.79092342318174,Below Average
female,group C,high school,standard,none,67.3652186559456,67.3652186559456,67.3652186559456,67.3652186559456,Average
male,group D,some high school,standard,completed,72.98200941222905,72.98200941222905,72.98200941222905,72.98200941222905,Good
female,group A,high school,standard,completed,76.0759064363737,76.0759064363737,76.0759064363737,76.0759064363737,Good
male,group B,some college,standard,completed,70.95369898168185,70.95369898168185,70.95369898168185,70.95369898168185,Good
female,group D,associate's degree,standard,none,76.31335124667255,76.31335124667255,76.31335124667255,76.31335124667255,Good
male,group C,some college,standard,completed,72.5019294841403,72.5019294841403,72.5019294841403,72.5019294841403,Good
female,group B,some college,free/reduced,completed,71.70282239797967,71.70282239797967,71.70282239797967,71.70282239797967,Good
female,group C,some high school,standard,none,68.73546126881082,68.73546126881082,68.73546126881082,68.73546126881082,Average
female,group D,some college,standard,none,75.13880565663378,75.13880565663378,75.13880565663378,75.13880565663378,Good
male,group D,bachelor's degree,standard,none,71.21737414081943,71.21737414081943,71.21737414081943,71.21737414081943,Good
male,group C,associate's degree,standard,none,63.489073685207934,63.489073685207934,63.489073685207934,63.489073685207934,Average
male,group B,associate's degree,standard,none,61.940843182749475,61.940843182749475,61.940843182749475,61.94084318274948,Average
female,group A,some high school,standard,completed,77.44614904923893,77.44614904923893,77.44614904923893,77.44614904923893,Good
male,group A,some high school,standard,completed,68.06358364573016,68.06358364573016,68.06358364573016,68.06358364573016,Average
female,group C,some high school,free/reduced,completed,70.28942067057103,70.28942067057103,70.28942067057103,70.28942067057103,Good
female,group C,associate's degree,standard,none,72.8716390887167,72.8716390887167,72.8716390887167,72.8716390887167,Good
female,group B,some college,free/reduced,none,61.51542100900853,61.51542100900853,61.51542100900853,61.51542100900853,Average
male,group D,master's degree,free/reduced,completed,71.2776567276674,71.2776567276674,71.2776567276674,71.2776567276674,Good
female,group C,bachelor's degree,free/reduced,completed,78.71218678813256,78.71218678813256,78.71218678813256,78.71218678813256,Good
female,group D,some college,free/reduced,none,66.50536366942283,66.50536366942283,66.50536366942283,66.50536366942283,Average
male,group C,high school,free/reduced,none,49.34921126522589,49.34921126522589,49.34921126522589,49.34921126522588,Poor
female,group D,some college,free/reduced,completed,76.69276505839399,76.69276505839399,76.69276505839399,76.69276505839399,Good
female,group D,associate's degree,standard,none,76.31335124667255,76.31335124667255,76.31335124667255,76.31335124667255,Good
male,group E,associate's degree,standard,completed,76.51760698030287,76.51760698030287,76.51760698030287,76.51760698030287,Good
female,group C,bachelor's degree,standard,none,77.15822738637235,77.15822738637235,77.15822738637235,77.15822738637235,Good
male,group C,some college,free/reduced,none,53.681086107958215,53.681086107958215,53.681086107958215,53.681086107958215,Below Average
female,group A,associate's degree,free/reduced,none,62.76148349296272,62.76148349296272,62.76148349296272,62.76148349296272,Average
male,group C,some high school,standard,completed,69.5402972542732,69.5402972542732,69.5402972542732,69.5402972542732,Average
male,group E,some high school,standard,completed,72.38142916039699,72.38142916039699,72.38142916039699,72.38142916039699,Good
female,group D,some college,standard,completed,85.32620704560492,85.32620704560492,85.32620704560492,85.32620704560492,Excellent
male,group B,associate's degree,free/reduced,none,53.30740119553853,53.30740119553853,53.30740119553853,53.307401195538525,Below Average
female,group A,some high school,standard,none,67.25874766026777,67.25874766026777,67.25874766026777,67.25874766026777,Average
male,group C,some high school,standard,none,59.35289586530205,59.35289586530205,59.35289586530205,59.35289586530205,Below Average
male,group D,some college,free/reduced,none,57.122798265914064,57.122798265914064,57.122798265914064,57.122798265914064,Below Average
male,group D,some high school,free/reduced,none,54.161166036046964,54.161166036046964,54.161166036046964,54.16116603604697,Below Average
male,group C,bachelor's degree,standard,none,67.77566198286358,67.77566198286358,67.77566198286358,67.77566198286358,Average
female,group C,some college,standard,none,71.69709349867793,71.69709349867793,71.69709349867793,71.69709349867793,Good
male,group B,bachelor's degree,standard,none,66.22743148040512,66.22743148040512,66.22743148040512,66.22743148040512,Average
female,group C,high school,free/reduced,none,58.73177666873465,58.73177666873465,58.73177666873465,58.73177666873465,Below Average
female,group D,some college,standard,completed,85.32620704560492,85.32620704560492,85.32620704560492,85.32620704560492,Excellent
female,group B,some high school,standard,completed,77.37463215532351,77.37463215532351,77.37463215532351,77.37463215532351,Good
female,group C,some high school,standard,completed,78.92286265778198,78.92286265778198,78.92286265778198,78.92286265778198,Good
male,group A,some college,free/reduced,none,52.20437249941517,52.20437249941517,52.20437249941517,52.20437249941517,Below Average
male,group C,master's degree,free/reduced,none,57.648543180740404,57.648543180740404,57.648543180740404,57.648543180740404,Below Average
female,group E,some college,standard,none,74.53822540480171,74.53822540480171,74.53822540480171,74.53822540480171,Good
male,group D,bachelor's degree,standard,none,71.21737414081943,71.21737414081943,71.21737414081943,71.21737414081943,Good
male,group B,high school,free/reduced,none,47.80098076276743,47.80098076276743,47.80098076276743,47.80098076276743,Poor
female,group B,some college,standard,none,70.14886299621946,70.14886299621946,70.14886299621946,70.14886299621946,Good
male,group D,associate's degree,standard,none,66.93078584316379,66.93078584316379,66.93078584316379,66.93078584316379,Average
male,group D,some college,standard,none,65.756240253125,65.756240253125,65.756240253125,65.756240253125,Average
female,group A,some college,standard,none,70.22037989013488,70.22037989013488,70.22037989013488,70.22037989013488,Good
female,group C,associate's degree,standard,none,72.8716390887167,72.8716390887167,72.8716390887167,72.8716390887167,Good
female,group C,associate's degree,free/reduced,completed,74.42559849047692,74.42559849047692,74.42559849047692,74.42559849047692,Good
male,group C,associate's degree,standard,completed,73.67647507417908,73.67647507417908,73.67647507417908,73.67647507417908,Good
male,group E,some college,standard,none,65.15566000129294,65.15566000129294,65.15566000129294,65.15566000129294,Average
male,group A,associate's degree,standard,none,62.01236007666489,62.01236007666489,62.01236007666489,62.01236007666489,Average
female,group C,associate's degree,free/reduced,none,64.23819710150576,64.23819710150576,64.23819710150576,64.23819710150576,Average
male,group A,high school,standard,none,56.50593964389378,56.50593964389378,56.50593964389378,56.50593964389378,Below Average
male,group B,high school,standard,none,56.43442274997837,56.43442274997837,56.43442274997837,56.434422749978374,Below Average
male,group E,associate's degree,standard,none,66.33020559133172,66.33020559133172,66.33020559133172,66.33020559133172,Average
male,group C,high school,standard,none,57.98265325243683,57.98265325243683,57.98265325243683,57.98265325243684,Below Average
female,group B,high school,standard,completed,76.00438954245828,76.00438954245828,76.00438954245828,76.00438954245828,Good
female,group C,high school,standard,none,67.3652186559456,67.3652186559456,67.3652186559456,67.3652186559456,Average
female,group D,bachelor's degree,free/reduced,none,71.96649755711725,71.96649755711725,71.96649755711725,71.96649755711725,Good
female,group B,high school,free/reduced,none,57.183546166276194,57.183546166276194,57.183546166276194,57.183546166276194,Below Average
male,group A,high school,standard,none,56.50593964389378,56.50593964389378,56.50593964389378,56.50593964389378,Below Average
female,group A,bachelor's degree,standard,none,75.6815137778293,75.6815137778293,75.6815137778293,75.6815137778293,Good
female,group C,some college,free/reduced,none,63.063651511466986,63.063651511466986,63.063651511466986,63.063651511466986,Average
male,group C,high school,standard,none,57.98265325243683,57.98265325243683,57.98265325243683,57.98265325243684,Below Average
male,group C,some high school,free/reduced,completed,60.90685526706227,60.90685526706227,60.90685526706227,60.90685526706227,Average
male,group D,high school,standard,completed,71.61176679936383,71.61176679936383,71.61176679936383,71.61176679936383,Good
male,group B,high school,standard,completed,66.62182413894952,66.62182413894952,66.62182413894952,66.62182413894952,Average
male,group D,high school,free/reduced,completed,62.97832481215289,62.97832481215289,62.97832481215289,62.97832481215289,Average
female,group A,master's degree,free/reduced,none,65.55439497570612,65.55439497570612,65.55439497570612,65.55439497570612,Average
female,group C,some college,free/reduced,none,63.063651511466986,63.063651511466986,63.063651511466986,63.063651511466986,Average
male,group D,master's degree,standard,none,69.72369732590718,69.72369732590718,69.72369732590718,69.72369732590718,Average
female,group C,some high school,free/reduced,completed,70.28942067057103,70.28942067057103,70.28942067057103,70.28942067057103,Good
female,group D,some high school,standard,completed,82.36457481573783,82.36457481573783,82.36457481573783,82.36457481573783,Excellent
male,group D,some high school,standard,none,62.7946080232579,62.7946080232579,62.7946080232579,62.7946080232579,Average
female,group D,associate's degree,standard,completed,86.50075263564369,86.50075263564369,86.50075263564369,86.50075263564368,Excellent
female,group C,some high school,standard,completed,78.92286265778198,78.92286265778198,78.92286265778198,78.92286265778198,Good
male,group B,associate's degree,standard,none,61.940843182749475,61.940843182749475,61.940843182749475,61.94084318274948,Average
male,group C,some high school,standard,completed,69.5402972542732,69.5402972542732,69.5402972542732,69.5402972542732,Average
female,group D,some high school,standard,none,72.17717342676667,72.17717342676667,72.17717342676667,72.17717342676667,Good
male,group D,associate's degree,standard,none,66.93078584316379,66.93078584316379,66.93078584316379,66.93078584316379,Average
male,group D,some high school,free/reduced,none,54.161166036046964,54.161166036046964,54.161166036046964,54.16116603604697,Below Average
female,group E,master's degree,standard,completed,88.69308386655504,88.69308386655504,88.69308386655504,88.69308386655503,Excellent
female,group C,associate's degree,standard,none,72.8716390887167,72.8716390887167,72.8716390887167,72.8716390887167,Good
female,group C,high school,free/reduced,none,58.73177666873465,58.73177666873465,58.73177666873465,58.73177666873465,Below Average
female,group C,bachelor's degree,standard,completed,87.3456287753435,87.3456287753435,87.3456287753435,87.34562877534351,Excellent
male,group B,some high school,standard,completed,67.99206675181475,67.99206675181475,67.99206675181475,67.99206675181475,Average
male,group A,master's degree,free/reduced,none,56.17182957219735,56.17182957219735,56.17182957219735,56.17182957219736,Below Average
female,group A,associate's degree,free/reduced,none,62.76148349296272,62.76148349296272,62.76148349296272,62.76148349296272,Average
female,group E,associate's degree,free/reduced,none,67.07932900762954,67.07932900762954,67.07932900762954,67.07932900762954,Average
female,group B,high school,standard,completed,76.00438954245828,76.00438954245828,76.00438954245828,76.00438954245828,Good
male,group D,some high school,free/reduced,completed,64.34856742501812,64.34856742501812,64.34856742501812,64.34856742501812,Average
male,group D,high school,standard,none,61.42436541039268,61.42436541039268,61.42436541039268,61.42436541039268,Average
male,group D,some high school,standard,completed,72.98200941222905,72.98200941222905,72.98200941222905,72.98200941222905,Good
female,group B,associate's degree,free/reduced,none,62.6899665990473,62.6899665990473,62.6899665990473,62.6899665990473,Average
male,group A,some high school,standard,none,57.87618225675901,57.87618225675901,57.87618225675901,57.876182256759,Below Average
male,group D,some high school,standard,none,62.7946080232579,62.7946080232579,62.7946080232579,62.7946080232579,Average
male,group E,some college,free/reduced,completed,66.70961940305315,66.70961940305315,66.70961940305315,66.70961940305315,Average
female,group E,high school,standard,none,70.20635056206937,70.20635056206937,70.20635056206937,70.20635056206937,Good
female,group E,high school,standard,completed,80.39375195104053,80.39375195104053,80.39375195104053,80.39375195104053,Excellent
female,group B,associate's degree,standard,completed,81.51080997522939,81.51080997522939,81.51080997522939,81.51080997522939,Excellent
male,group C,associate's degree,standard,none,63.489073685207934,63.489073685207934,63.489073685207934,63.489073685207934,Average
male,group C,some high school,free/reduced,none,50.719453878091116,50.719453878091116,50.719453878091116,50.719453878091116,Below Average
female,group D,master's degree,standard,none,79.10626272941596,79.10626272941596,79.10626272941596,79.10626272941596,Good
female,group E,some college,standard,none,74.53822540480171,74.53822540480171,74.53822540480171,74.53822540480171,Good
female,group D,high school,free/reduced,none,62.1734888266905,62.1734888266905,62.1734888266905,62.173488826690495,Average
female,group A,bachelor's degree,standard,none,75.6815137778293,75.6815137778293,75.6815137778293,75.6815137778293,Good
male,group E,bachelor's degree,free/reduced,completed,72.17075329074757,72.17075329074757,72.17075329074757,72.17075329074757,Good
female,group E,associate's degree,standard,none,75.71277099484048,75.71277099484048,75.71277099484048,75.71277099484048,Good
female,group C,bachelor's degree,standard,completed,87.3456287753435,87.3456287753435,87.3456287753435,87.34562877534351,Excellent
male,group B,high school,standard,completed,66.62182413894952,66.62182413894952,66.62182413894952,66.62182413894952,Average
female,group D,some college,standard,completed,85.32620704560492,85.32620704560492,85.32620704560492,85.32620704560492,Excellent
male,group C,some high school,free/reduced,completed,60.90685526706227,60.90685526706227,60.90685526706227,60.90685526706227,Average
male,group D,some college,standard,completed,75.94364164209615,75.94364164209615,75.94364164209615,75.94364164209615,Good
male,group C,some college,standard,none,62.31452809516916,62.31452809516916,62.31452809516916,62.31452809516916,Average
male,group C,high school,free/reduced,completed,59.53661265419704,59.53661265419704,59.53661265419704,59.53661265419705,Below Average
male,group E,some college,free/reduced,none,56.522218014082,56.522218014082,56.522218014082,56.522218014082,Below Average
female,group C,bachelor's degree,standard,completed,87.3456287753435,87.3456287753435,87.3456287753435,87.34562877534351,Excellent
female,group B,associate's degree,standard,none,71.32340858625824,71.32340858625824,71.32340858625824,71.32340858625824,Good
male,group B,some high school,standard,completed,67.99206675181475,67.99206675181475,67.99206675181475,67.99206675181475,Average
male,group E,associate's degree,standard,none,66.33020559133172,66.33020559133172,66.33020559133172,66.33020559133172,Average
female,group D,associate's degree,free/reduced,completed,77.86731064843276,77.86731064843276,77.86731064843276,77.86731064843276,Good
female,group D,some college,free/reduced,completed,76.69276505839399,76.69276505839399,76.69276505839399,76.69276505839399,Good
male,group D,some college,free/reduced,none,57.122798265914064,57.122798265914064,57.122798265914064,57.122798265914064,Below Average
female,group D,some high school,free/reduced,none,63.54373143955573,63.54373143955573,63.54373143955573,63.54373143955573,Average
male,group D,high school,standard,none,61.42436541039268,61.42436541039268,61.42436541039268,61.42436541039268,Average
female,group C,master's degree,free/reduced,completed,77.21850997322032,77.21850997322032,77.21850997322032,77.21850997322032,Good
female,group E,associate's degree,standard,none,75.71277099484048,75.71277099484048,75.71277099484048,75.71277099484048,Good
female,group C,some high school,standard,completed,78.92286265778198,78.92286265778198,78.92286265778198,78.92286265778198,Good
female,group B,high school,standard,none,65.81698815348713,65.81698815348713,65.81698815348713,65.81698815348713,Average
female,group C,high school,free/reduced,none,58.73177666873465,58.73177666873465,58.73177666873465,58.73177666873465,Below Average
female,group D,master's degree,free/reduced,completed,80.66022213117617,80.66022213117617,80.66022213117617,80.66022213117617,Excellent
male,group C,some high school,free/reduced,completed,60.90685526706227,60.90685526706227,60.90685526706227,60.90685526706227,Average
male,group E,master's degree,standard,none,69.12311707407513,69.12311707407513,69.12311707407513,69.12311707407513,Average
male,group E,high school,standard,none,60.82378515856061,60.82378515856061,60.82378515856061,60.82378515856061,Average
female,group B,bachelor's degree,standard,none,75.60999688391388,75.60999688391388,75.60999688391388,75.60999688391388,Good
male,group A,bachelor's degree,free/reduced,completed,67.85290777608074,67.85290777608074,67.85290777608074,67.85290777608074,Average
male,group C,high school,standard,none,57.98265325243683,57.98265325243683,57.98265325243683,57.98265325243684,Below Average
male,group B,some college,standard,completed,70.95369898168185,70.95369898168185,70.95369898168185,70.95369898168185,Good
male,group B,some high school,free/reduced,completed,59.3586247646038,59.3586247646038,59.3586247646038,59.3586247646038,Below Average
male,group B,some high school,standard,none,57.80466536284359,57.80466536284359,57.80466536284359,57.80466536284359,Below Average
male,group C,associate's degree,free/reduced,none,54.85563169799699,54.85563169799699,54.85563169799699,54.85563169799699,Below Average
female,group B,bachelor's degree,free/reduced,none,66.97655489670295,66.97655489670295,66.97655489670295,66.97655489670295,Average
male,group C,associate's degree,free/reduced,completed,65.04303308696814,65.04303308696814,65.04303308696814,65.04303308696814,Average
female,group D,high school,free/reduced,completed,72.36089021566166,72.36089021566166,72.36089021566166,72.36089021566166,Good
male,group E,associate's degree,standard,completed,76.51760698030287,76.51760698030287,76.51760698030287,76.51760698030287,Good
female,group B,some college,free/reduced,none,61.51542100900853,61.51542100900853,61.51542100900853,61.51542100900853,Average
female,group C,associate's degree,standard,none,72.8716390887167,72.8716390887167,72.8716390887167,72.8716390887167,Good
female,group D,some high school,standard,completed,82.36457481573783,82.36457481573783,82.36457481573783,82.36457481573783,Excellent
