gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,highest_score,lowest_score,score_gap,score_std,strongest_subject,weakest_subject,performance_level,consistency,at_risk,performance_profile
female,group B,some college,free/reduced,completed,65,75,70,70.0,75,65,10,5.0,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
male,group D,some college,standard,none,44,54,53,50.333333333333336,54,44,10,5.507570547286102,Reading,Mathematics,Below Average,Consistent,Not At Risk,Developing Performer
female,group C,some high school,standard,none,69,73,73,71.66666666666667,73,69,4,2.3094010767585034,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,80,71,9,4.58257569495584,Writing,Reading,Good,Highly Consistent,Not At Risk,Balanced High Performer
male,group A,master's degree,free/reduced,none,73,74,72,73.0,74,72,2,1.0,Reading,Writing,Good,Highly Consistent,Not At Risk,Balanced High Performer
male,group B,some college,standard,none,69,54,55,59.333333333333336,69,54,15,8.386497083606084,Mathematics,Reading,Below Average,Consistent,Not At Risk,Math-Oriented
female,group C,bachelor's degree,standard,none,67,69,75,70.33333333333333,75,67,8,4.163331998932265,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
male,group C,high school,standard,none,70,70,65,68.33333333333333,70,65,5,2.8867513459481287,Mathematics,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
female,group D,master's degree,standard,none,62,70,75,69.0,75,62,13,6.557438524302,Writing,Mathematics,Average,Consistent,Not At Risk,Developing Performer
female,group D,some college,standard,none,69,74,74,72.33333333333333,74,69,5,2.8867513459481287,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
female,group B,some college,standard,none,63,65,61,63.0,65,61,4,2.0,Reading,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
female,group E,master's degree,free/reduced,none,56,72,65,64.33333333333333,72,56,16,8.020806277010644,Reading,Mathematics,Average,Consistent,Not At Risk,Developing Performer
male,group D,some college,standard,none,40,42,38,40.0,42,38,4,2.0,Reading,Writing,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group E,some college,standard,none,97,87,82,88.66666666666667,97,82,15,7.637626158259734,Mathematics,Writing,Excellent,Consistent,Not At Risk,Balanced High Performer
male,group E,associate's degree,standard,completed,81,81,79,80.33333333333333,81,79,2,1.1547005383792517,Mathematics,Writing,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
female,group D,associate's degree,standard,none,74,81,83,79.33333333333333,83,74,9,4.725815626252608,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group D,some high school,free/reduced,none,50,64,59,57.666666666666664,64,50,14,7.094598884597588,Reading,Mathematics,Below Average,Consistent,Not At Risk,Developing Performer
female,group D,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,90,75,15,8.144527815247079,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
male,group B,associate's degree,free/reduced,none,57,56,57,56.666666666666664,57,56,1,0.5773502691896258,Mathematics,Reading,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group C,associate's degree,free/reduced,none,55,61,54,56.666666666666664,61,54,7,3.785938897200183,Reading,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group C,associate's degree,standard,none,58,73,68,66.33333333333333,73,58,15,7.637626158259734,Reading,Mathematics,Average,Consistent,Not At Risk,Language-Oriented
female,group B,associate's degree,standard,none,53,58,65,58.666666666666664,65,53,12,6.027713773341708,Writing,Mathematics,Below Average,Consistent,Not At Risk,Developing Performer
male,group B,some college,free/reduced,completed,59,65,66,63.333333333333336,66,59,7,3.785938897200183,Writing,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group E,associate's degree,free/reduced,none,50,56,54,53.333333333333336,56,50,6,3.0550504633038935,Reading,Mathematics,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group B,associate's degree,standard,none,65,54,57,58.666666666666664,65,54,11,5.686240703077327,Mathematics,Reading,Below Average,Consistent,Not At Risk,Developing Performer
female,group A,associate's degree,standard,completed,55,65,62,60.666666666666664,65,55,10,5.131601439446884,Reading,Mathematics,Average,Consistent,Not At Risk,Developing Performer
female,group C,high school,standard,none,66,71,76,71.0,76,66,10,5.0,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,76,57,19,10.44030650891055,Writing,Mathematics,Average,Moderately Consistent,Not At Risk,Language-Oriented
male,group C,high school,standard,completed,82,84,82,82.66666666666667,84,82,2,1.1547005383792517,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group E,some college,standard,none,53,55,48,52.0,55,48,7,3.605551275463989,Reading,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group E,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,77,68,9,4.932882862316247,Mathematics,Writing,Good,Highly Consistent,Not At Risk,Developing Performer
male,group C,some college,standard,none,53,44,42,46.333333333333336,53,42,11,5.8594652770823155,Mathematics,Writing,Poor,Consistent,At Risk,At-Risk Performer
male,group D,high school,standard,none,88,78,75,80.33333333333333,88,75,13,6.8068592855540455,Mathematics,Writing,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group C,some high school,free/reduced,completed,71,84,87,80.66666666666667,87,71,16,8.504900548115383,Writing,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group C,high school,free/reduced,none,33,41,43,39.0,43,33,10,5.291502622129181,Writing,Mathematics,Poor,Consistent,At Risk,At-Risk Performer
female,group E,associate's degree,standard,completed,82,85,86,84.33333333333333,86,82,4,2.081665999466133,Writing,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group D,associate's degree,standard,none,52,55,49,52.0,55,49,6,3.0,Reading,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,some college,standard,completed,58,59,58,58.333333333333336,59,58,1,0.5773502691896258,Reading,Mathematics,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group C,some high school,free/reduced,none,0,17,10,9.0,17,0,17,8.54400374531753,Reading,Mathematics,Poor,Consistent,At Risk,At-Risk Performer
male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,79,72,7,3.605551275463989,Mathematics,Writing,Good,Highly Consistent,Not At Risk,Balanced High Performer
male,group A,some high school,free/reduced,none,39,39,34,37.333333333333336,39,34,5,2.8867513459481287,Mathematics,Writing,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group A,associate's degree,free/reduced,none,62,61,55,59.333333333333336,62,55,7,3.7859388972001824,Mathematics,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group C,associate's degree,standard,none,69,80,71,73.33333333333333,80,69,11,5.8594652770823155,Reading,Mathematics,Good,Consistent,Not At Risk,Developing Performer
female,group D,some high school,standard,none,59,58,59,58.666666666666664,59,58,1,0.5773502691896258,Mathematics,Reading,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group B,some high school,standard,none,67,64,61,64.0,67,61,6,3.0,Mathematics,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,some high school,free/reduced,none,45,37,37,39.666666666666664,45,37,8,4.618802153517007,Mathematics,Reading,Poor,Highly Consistent,At Risk,At-Risk Performer
female,group C,some college,standard,none,60,72,74,68.66666666666667,74,60,14,7.571877794400366,Writing,Mathematics,Average,Consistent,Not At Risk,Language-Oriented
male,group B,associate's degree,free/reduced,none,61,58,56,58.333333333333336,61,56,5,2.516611478423583,Mathematics,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group C,associate's degree,standard,none,39,64,57,53.333333333333336,64,39,25,12.897028081435401,Reading,Mathematics,Below Average,Moderately Consistent,Not At Risk,Language-Oriented
female,group D,some college,free/reduced,completed,58,63,73,64.66666666666667,73,58,15,7.637626158259733,Writing,Mathematics,Average,Consistent,Not At Risk,Developing Performer
male,group D,some college,standard,completed,63,55,63,60.333333333333336,63,55,8,4.618802153517007,Mathematics,Reading,Average,Highly Consistent,Not At Risk,Developing Performer
female,group A,associate's degree,free/reduced,none,41,51,48,46.666666666666664,51,41,10,5.131601439446884,Reading,Mathematics,Poor,Consistent,At Risk,At-Risk Performer
male,group C,some high school,free/reduced,none,61,57,56,58.0,61,56,5,2.6457513110645907,Mathematics,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group C,some high school,standard,none,49,49,41,46.333333333333336,49,41,8,4.618802153517007,Mathematics,Writing,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group B,associate's degree,free/reduced,none,44,41,38,41.0,44,38,6,3.0,Mathematics,Writing,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group E,some high school,standard,none,30,26,22,26.0,30,22,8,4.0,Mathematics,Writing,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group A,bachelor's degree,standard,completed,80,78,81,79.66666666666667,81,78,3,1.5275252316519468,Writing,Reading,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group D,some high school,standard,completed,61,74,72,69.0,74,61,13,7.0,Reading,Mathematics,Average,Consistent,Not At Risk,Language-Oriented
female,group E,master's degree,standard,none,62,68,68,66.0,68,62,6,3.4641016151377544,Reading,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group B,associate's degree,standard,none,47,49,50,48.666666666666664,50,47,3,1.5275252316519465,Writing,Mathematics,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group B,high school,free/reduced,none,49,45,45,46.333333333333336,49,45,4,2.309401076758503,Mathematics,Reading,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group A,some college,free/reduced,completed,50,47,54,50.333333333333336,54,47,7,3.511884584284246,Writing,Reading,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group E,associate's degree,standard,none,72,64,63,66.33333333333333,72,63,9,4.932882862316247,Mathematics,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,high school,free/reduced,none,42,39,34,38.333333333333336,42,34,8,4.041451884327381,Mathematics,Writing,Poor,Highly Consistent,At Risk,At-Risk Performer
female,group C,some college,standard,none,73,80,82,78.33333333333333,82,73,9,4.725815626252608,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group C,some college,free/reduced,none,76,83,88,82.33333333333333,88,76,12,6.027713773341707,Writing,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group D,associate's degree,standard,none,71,71,74,72.0,74,71,3,1.7320508075688772,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group A,some college,standard,none,58,70,67,65.0,70,58,12,6.244997998398398,Reading,Mathematics,Average,Consistent,Not At Risk,Developing Performer
female,group D,some high school,standard,none,73,86,82,80.33333333333333,86,73,13,6.658328118479393,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group C,bachelor's degree,standard,none,65,72,74,70.33333333333333,74,65,9,4.725815626252608,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
male,group C,high school,free/reduced,none,27,34,36,32.333333333333336,36,27,9,4.725815626252609,Writing,Mathematics,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group C,high school,standard,none,71,79,71,73.66666666666667,79,71,8,4.618802153517006,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
male,group C,associate's degree,free/reduced,completed,43,45,50,46.0,50,43,7,3.605551275463989,Writing,Mathematics,Poor,Highly Consistent,At Risk,At-Risk Performer
female,group B,some college,standard,none,79,86,92,85.66666666666667,92,79,13,6.506407098647712,Writing,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
male,group C,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,82,78,4,2.081665999466133,Writing,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group B,some high school,standard,completed,65,66,62,64.33333333333333,66,62,4,2.081665999466133,Reading,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
female,group E,some college,standard,completed,63,72,70,68.33333333333333,72,63,9,4.725815626252608,Reading,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group D,some college,free/reduced,none,58,67,62,62.333333333333336,67,58,9,4.509249752822894,Reading,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group D,bachelor's degree,standard,none,65,67,62,64.66666666666667,67,62,5,2.5166114784235836,Reading,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
male,group B,some college,standard,none,79,67,67,71.0,79,67,12,6.928203230275509,Mathematics,Reading,Good,Consistent,Not At Risk,Math-Oriented
male,group D,bachelor's degree,standard,completed,68,74,74,72.0,74,68,6,3.4641016151377544,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
female,group D,associate's degree,standard,none,85,91,89,88.33333333333333,91,85,6,3.055050463303893,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group B,high school,standard,completed,60,44,47,50.333333333333336,60,44,16,8.504900548115382,Mathematics,Reading,Below Average,Consistent,Not At Risk,Math-Oriented
male,group C,some college,standard,completed,98,86,90,91.33333333333333,98,86,12,6.110100926607787,Mathematics,Reading,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group C,some college,standard,none,58,67,72,65.66666666666667,72,58,14,7.094598884597588,Writing,Mathematics,Average,Consistent,Not At Risk,Developing Performer
female,group D,master's degree,standard,none,87,100,100,95.66666666666667,100,87,13,7.505553499465136,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
male,group E,associate's degree,standard,completed,66,63,64,64.33333333333333,66,63,3,1.5275252316519468,Mathematics,Reading,Average,Highly Consistent,Not At Risk,Developing Performer
female,group B,associate's degree,free/reduced,none,52,76,70,66.0,76,52,24,12.489995996796797,Reading,Mathematics,Average,Moderately Consistent,Not At Risk,Language-Oriented
female,group B,some high school,standard,none,70,64,72,68.66666666666667,72,64,8,4.163331998932265,Writing,Reading,Average,Highly Consistent,Not At Risk,Developing Performer
female,group D,associate's degree,free/reduced,completed,77,89,98,88.0,98,77,21,10.535653752852738,Writing,Mathematics,Excellent,Moderately Consistent,Not At Risk,Balanced High Performer
male,group C,high school,standard,none,62,55,49,55.333333333333336,62,49,13,6.506407098647712,Mathematics,Writing,Below Average,Consistent,Not At Risk,Developing Performer
male,group A,associate's degree,standard,none,54,53,47,51.333333333333336,54,47,7,3.7859388972001824,Mathematics,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group D,some college,standard,none,51,58,54,54.333333333333336,58,51,7,3.5118845842842465,Reading,Mathematics,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group E,bachelor's degree,standard,completed,99,100,100,99.66666666666667,100,99,1,0.5773502691896257,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group C,high school,standard,none,84,77,74,78.33333333333333,84,74,10,5.131601439446884,Mathematics,Writing,Good,Consistent,Not At Risk,Balanced High Performer
female,group B,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,85,75,10,5.131601439446884,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group D,bachelor's degree,standard,none,78,82,79,79.66666666666667,82,78,4,2.0816659994661326,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group D,some high school,standard,none,51,63,61,58.333333333333336,63,51,12,6.429100507328637,Reading,Mathematics,Below Average,Consistent,Not At Risk,Language-Oriented
female,group C,some college,standard,none,55,69,65,63.0,69,55,14,7.211102550927978,Reading,Mathematics,Average,Consistent,Not At Risk,Language-Oriented
female,group C,bachelor's degree,standard,completed,79,92,89,86.66666666666667,92,79,13,6.8068592855540455,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
male,group B,associate's degree,standard,completed,91,89,92,90.66666666666667,92,89,3,1.5275252316519468,Writing,Reading,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
female,group C,some college,standard,completed,88,93,93,91.33333333333333,93,88,5,2.8867513459481287,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group D,high school,free/reduced,none,63,57,56,58.666666666666664,63,56,7,3.785938897200183,Mathematics,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group E,some college,standard,none,83,80,73,78.66666666666667,83,73,10,5.131601439446884,Mathematics,Writing,Good,Consistent,Not At Risk,Balanced High Performer
female,group B,high school,standard,none,87,95,86,89.33333333333333,95,86,9,4.932882862316247,Reading,Writing,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group B,some high school,standard,none,72,68,67,69.0,72,67,5,2.6457513110645907,Mathematics,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,some college,standard,completed,65,77,74,72.0,77,65,12,6.244997998398398,Reading,Mathematics,Good,Consistent,Not At Risk,Developing Performer
male,group D,master's degree,standard,none,82,82,74,79.33333333333333,82,74,8,4.618802153517006,Mathematics,Writing,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group A,bachelor's degree,standard,none,51,49,51,50.333333333333336,51,49,2,1.1547005383792517,Mathematics,Reading,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,master's degree,standard,none,89,84,82,85.0,89,82,7,3.605551275463989,Mathematics,Writing,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group C,some high school,free/reduced,completed,53,37,40,43.333333333333336,53,37,16,8.504900548115382,Mathematics,Reading,Poor,Consistent,At Risk,At-Risk Performer
male,group E,some college,free/reduced,completed,87,74,70,77.0,87,70,17,8.888194417315589,Mathematics,Writing,Good,Consistent,Not At Risk,Balanced High Performer
female,group C,some college,standard,completed,75,81,84,80.0,84,75,9,4.58257569495584,Writing,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0,79,74,5,2.6457513110645907,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
male,group C,bachelor's degree,standard,none,58,55,48,53.666666666666664,58,48,10,5.131601439446884,Mathematics,Writing,Below Average,Consistent,Not At Risk,Developing Performer
male,group B,some high school,standard,completed,51,54,41,48.666666666666664,54,41,13,6.8068592855540455,Reading,Writing,Poor,Consistent,At Risk,At-Risk Performer
male,group E,high school,standard,none,70,55,56,60.333333333333336,70,55,15,8.386497083606084,Mathematics,Reading,Average,Consistent,Not At Risk,Math-Oriented
female,group C,associate's degree,standard,none,59,66,67,64.0,67,59,8,4.358898943540674,Writing,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,some college,standard,completed,71,61,69,67.0,71,61,10,5.291502622129181,Mathematics,Reading,Average,Consistent,Not At Risk,Developing Performer
female,group D,some high school,standard,none,76,72,71,73.0,76,71,5,2.6457513110645907,Mathematics,Writing,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group C,some college,free/reduced,none,59,62,64,61.666666666666664,64,59,5,2.516611478423583,Writing,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group E,some college,free/reduced,completed,42,55,54,50.333333333333336,55,42,13,7.234178138070235,Reading,Mathematics,Below Average,Consistent,Not At Risk,Language-Oriented
male,group A,high school,standard,none,57,43,47,49.0,57,43,14,7.211102550927978,Mathematics,Reading,Poor,Consistent,At Risk,At-Risk Performer
male,group D,some college,standard,none,88,73,78,79.66666666666667,88,73,15,7.637626158259734,Mathematics,Reading,Good,Consistent,Not At Risk,Balanced High Performer
female,group C,some college,free/reduced,none,22,39,33,31.333333333333332,39,22,17,8.621678104251709,Reading,Mathematics,Poor,Consistent,At Risk,At-Risk Performer
male,group B,some high school,standard,none,88,84,75,82.33333333333333,88,75,13,6.6583281184793925,Mathematics,Writing,Excellent,Consistent,Not At Risk,Balanced High Performer
male,group C,associate's degree,free/reduced,none,73,68,66,69.0,73,66,7,3.605551275463989,Mathematics,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
female,group D,bachelor's degree,standard,completed,68,75,81,74.66666666666667,81,68,13,6.506407098647712,Writing,Mathematics,Good,Consistent,Not At Risk,Developing Performer
male,group E,associate's degree,free/reduced,completed,100,100,93,97.66666666666667,100,93,7,4.041451884327381,Mathematics,Writing,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group A,some high school,standard,completed,62,67,69,66.0,69,62,7,3.605551275463989,Writing,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
male,group A,bachelor's degree,standard,none,77,67,68,70.66666666666667,77,67,10,5.507570547286102,Mathematics,Reading,Good,Consistent,Not At Risk,Developing Performer
female,group B,associate's degree,standard,completed,59,70,66,65.0,70,59,11,5.5677643628300215,Reading,Mathematics,Average,Consistent,Not At Risk,Developing Performer
male,group D,bachelor's degree,standard,none,54,49,47,50.0,54,47,7,3.605551275463989,Mathematics,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,some high school,standard,none,62,67,61,63.333333333333336,67,61,6,3.214550253664318,Reading,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
female,group C,some college,standard,completed,70,89,88,82.33333333333333,89,70,19,10.692676621563628,Reading,Mathematics,Excellent,Moderately Consistent,Not At Risk,Balanced High Performer
female,group E,high school,free/reduced,completed,66,74,78,72.66666666666667,78,66,12,6.110100926607786,Writing,Mathematics,Good,Consistent,Not At Risk,Developing Performer
male,group B,some college,free/reduced,none,60,60,60,60.0,60,60,0,0.0,Mathematics,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group B,associate's degree,standard,completed,61,86,87,78.0,87,61,26,14.730919862656235,Writing,Mathematics,Good,Moderately Consistent,Not At Risk,Language-Oriented
male,group D,associate's degree,free/reduced,none,66,62,64,64.0,66,62,4,2.0,Mathematics,Reading,Average,Highly Consistent,Not At Risk,Developing Performer
male,group B,associate's degree,free/reduced,completed,82,78,74,78.0,82,74,8,4.0,Mathematics,Writing,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group E,some college,free/reduced,completed,75,88,85,82.66666666666667,88,75,13,6.8068592855540455,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
male,group B,master's degree,free/reduced,none,49,53,52,51.333333333333336,53,49,4,2.0816659994661326,Reading,Mathematics,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group C,high school,standard,none,52,53,49,51.333333333333336,53,49,4,2.0816659994661326,Reading,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group E,master's degree,standard,none,81,92,91,88.0,92,81,11,6.082762530298219,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group C,bachelor's degree,standard,completed,96,100,100,98.66666666666667,100,96,4,2.3094010767585034,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group C,high school,free/reduced,completed,53,51,51,51.666666666666664,53,51,2,1.1547005383792517,Mathematics,Reading,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group B,master's degree,free/reduced,completed,58,76,78,70.66666666666667,78,58,20,11.015141094572204,Writing,Mathematics,Good,Moderately Consistent,Not At Risk,Language-Oriented
female,group B,high school,standard,completed,68,83,78,76.33333333333333,83,68,15,7.637626158259734,Reading,Mathematics,Good,Consistent,Not At Risk,Language-Oriented
female,group C,some college,free/reduced,completed,67,75,70,70.66666666666667,75,67,8,4.041451884327381,Reading,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
male,group A,high school,standard,completed,72,73,74,73.0,74,72,2,1.0,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
male,group E,some high school,standard,none,94,88,78,86.66666666666667,94,78,16,8.082903768654761,Mathematics,Writing,Excellent,Consistent,Not At Risk,Balanced High Performer
female,group D,some college,standard,none,79,86,81,82.0,86,79,7,3.605551275463989,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
female,group C,associate's degree,standard,none,63,67,70,66.66666666666667,70,63,7,3.511884584284246,Writing,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group C,bachelor's degree,free/reduced,completed,43,51,54,49.333333333333336,54,43,11,5.686240703077327,Writing,Mathematics,Poor,Consistent,At Risk,At-Risk Performer
female,group C,master's degree,standard,completed,81,91,87,86.33333333333333,91,81,10,5.033222956847166,Reading,Mathematics,Excellent,Consistent,Not At Risk,Balanced High Performer
